Recency,Frequency,Monetary
140,12,117.9
246,13,152.02
110,11,207.05
137,11,53.39
163,4,18.7
36,10,107.4
64,11,68.8
153,2,13.5
127,14,95.6
179,11,141.6
39,8,45.84
252,19,171.85
6,15,205.6
148,5,29.2
507,2,30.0
365,6,19.0
3,17,167.54
78,4,12.0
36,11,87.0
195,13,144.0
132,11,91.08
93,12,99.26
137,4,37.4
58,7,32.9
217,15,105.3
148,7,73.9
108,14,110.7
152,2,3.2
10,12,102.0
285,8,43.5
90,12,71.05
23,18,133.8
32,14,97.59
179,12,50.8
470,8,67.46
559,2,11.6
45,14,160.0
198,13,180.3
33,14,108.7
80,23,201.41
57,4,25.2
372,8,36.7
27,13,140.02
295,7,57.95
247,2,7.8
21,13,77.84
28,10,86.8
333,8,75.3
11,8,45.34
208,10,79.4
13,11,46.9
22,12,79.89
231,11,104.85
310,2,23.4
79,8,102.2
391,5,15.0
330,9,46.42
77,6,48.5
227,7,48.64
168,4,41.9
10,14,145.2
131,20,108.8
87,12,123.6
372,8,44.35
243,10,108.8
346,8,51.85
155,4,35.1
318,6,50.6
112,8,112.0
411,13,69.76
108,6,34.4
229,12,95.3
0,4,36.1
408,5,71.5
131,6,27.1
62,11,180.0
242,13,51.7
271,10,82.3
547,6,24.4
45,7,100.12
432,12,111.62
118,7,61.7
7,5,43.95
312,8,61.9
54,21,147.41
100,7,71.8
79,9,99.15
475,6,127.1
155,8,59.94
60,4,36.6
124,10,99.52
75,2,16.4
338,10,121.31
413,6,47.9
320,6,39.55
330,3,6.4
107,12,93.6
85,13,111.1
261,12,96.2
304,8,109.9
7,8,81.0
114,10,41.35
67,8,71.3
400,8,79.6
157,6,57.2
292,9,67.7
455,4,26.1
319,8,70.0
258,6,25.0
22,8,48.1
389,2,14.5
35,2,33.2
91,11,107.34
253,5,29.7
224,7,74.19
65,6,55.7
35,6,74.9
357,10,50.75
151,7,31.4
31,9,95.16
103,16,88.4
304,13,141.5
393,6,45.4
337,5,17.7
275,8,58.9
312,4,19.0
13,10,106.0
98,13,93.07
107,14,87.4
377,11,87.89
405,2,2.9
72,5,29.2
134,3,68.4
156,14,86.95
504,3,18.7
240,14,68.1
40,14,95.9
306,21,113.05
60,8,37.0
272,8,62.4
290,4,31.1
185,16,172.04
20,16,124.87
77,16,110.7
131,8,82.75
37,10,98.1
155,6,34.1
88,9,53.05
150,2,12.0
56,18,162.5
42,14,154.25
586,4,27.6
134,2,15.2
252,9,52.72
36,13,137.6
69,15,172.5
81,16,144.9
97,8,60.0
385,6,39.8
405,8,45.3
515,6,63.4
172,13,189.7
183,12,98.1
133,9,36.0
423,2,16.2
276,11,118.8
366,8,69.1
30,4,23.15
80,4,59.9
339,6,55.6
98,12,151.4
47,7,121.2
218,13,94.36
144,7,70.5
227,6,41.4
327,13,138.7
581,3,16.4
420,4,34.24
58,13,110.7
166,7,88.4
132,9,72.85
250,7,28.6
492,2,20.75
354,9,98.1
151,3,9.6
382,6,29.22
248,7,22.15
4,8,25.97
332,12,86.95
357,7,26.4
10,17,134.2
194,10,86.2
16,8,99.4
373,10,61.34
193,11,133.9
324,10,96.78
325,2,13.5
576,4,29.0
36,10,28.5
3,6,93.0
77,2,33.0
4,16,164.86
323,7,21.8
